task_id	train_dataset	method	gene_symbol	coefficient	abs_coefficient
task_a	GSE65682	standard_zscore	RNASE1	0.00883725075038688	0.00883725075038688
task_a	GSE65682	standard_zscore	PTGFR	0.008714947196516915	0.008714947196516915
task_a	GSE65682	standard_zscore	C3AR1	0.0075967510685933355	0.0075967510685933355
task_a	GSE65682	standard_zscore	HTRA1	0.007165595915034044	0.007165595915034044
task_a	GSE65682	standard_zscore	TMEM144	0.007046975372259561	0.007046975372259561
task_a	GSE65682	standard_zscore	SIGLEC11	0.0070093922982092235	0.0070093922982092235
task_a	GSE65682	standard_zscore	GAS6	0.006898418828774742	0.006898418828774742
task_a	GSE65682	standard_zscore	UBXN2A	0.0068807774756679315	0.0068807774756679315
task_a	GSE65682	standard_zscore	ANG	0.006749963852801303	0.006749963852801303
task_a	GSE65682	standard_zscore	ASGR2	0.006734544210405736	0.006734544210405736
task_a	GSE65682	standard_zscore	TNNT1	0.0066849975427607025	0.0066849975427607025
task_a	GSE65682	standard_zscore	KIAA1324	-0.006666563978113753	0.006666563978113753
task_a	GSE65682	standard_zscore	SLITRK4	0.0066449622740454425	0.0066449622740454425
task_a	GSE65682	standard_zscore	ADORA2B	0.006616107488188769	0.006616107488188769
task_a	GSE65682	standard_zscore	TNKS	-0.0065021132033378165	0.0065021132033378165
task_a	GSE65682	standard_zscore	ZNF608	0.0064835383209038465	0.0064835383209038465
task_a	GSE65682	standard_zscore	RNASE2	0.0064213782322258784	0.0064213782322258784
task_a	GSE65682	standard_zscore	TGFBR2	-0.006407950094724786	0.006407950094724786
task_a	GSE65682	standard_zscore	C1QC	0.006355204508977003	0.006355204508977003
task_a	GSE65682	standard_zscore	TMEM45A	0.006325592566927697	0.006325592566927697
task_a	GSE65682	standard_zscore	CYP1B1	0.006110672801262833	0.006110672801262833
task_a	GSE65682	standard_zscore	GPR68	-0.006078480130676875	0.006078480130676875
task_a	GSE65682	standard_zscore	SLC25A26	-0.006071210553943269	0.006071210553943269
task_a	GSE65682	standard_zscore	APOBEC3B	0.006028015017733536	0.006028015017733536
task_a	GSE65682	standard_zscore	ARG1	0.006012063059095482	0.006012063059095482
task_a	GSE65682	standard_zscore	CD36	0.006004504987813426	0.006004504987813426
task_a	GSE65682	standard_zscore	OLA1	0.005995262502066536	0.005995262502066536
task_a	GSE65682	standard_zscore	RNASE4	0.005975713559658815	0.005975713559658815
task_a	GSE65682	standard_zscore	TNFRSF14	-0.005971185437464751	0.005971185437464751
task_a	GSE65682	standard_zscore	ASCL2	-0.005953897130168236	0.005953897130168236
task_a	GSE65682	standard_zscore	KIAA1958	0.005944739834583456	0.005944739834583456
task_a	GSE65682	standard_zscore	CD177	0.005943620449136806	0.005943620449136806
task_a	GSE65682	standard_zscore	EBPL	0.005919900055803779	0.005919900055803779
task_a	GSE65682	standard_zscore	CRISP3	0.005906702004457851	0.005906702004457851
task_a	GSE65682	standard_zscore	PPP4R2	0.0059063352812335785	0.0059063352812335785
task_a	GSE65682	standard_zscore	BRSK1	0.005899373748302428	0.005899373748302428
task_a	GSE65682	standard_zscore	GJB6	0.005897491414021898	0.005897491414021898
task_a	GSE65682	standard_zscore	FAM129B	0.005894885410966844	0.005894885410966844
